job_title,job_type,job_categories,job_location,company_name,company_location,company_field,company_size,experience_needed,career_level,education_level,gender
Tax Accountant,Full Time,Accounting/Finance,"10th of Ramadan City, Sharqia",KIG Konnice,Egypt ,Consumer Electronics,500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Cost Control Accountant - Bakery & Pastry,Full Time,Accounting/Finance,"New Cairo, Cairo",Confidential Company,"New Cairo, Cairo",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Accountant,Full Time,Accounting/Finance,"6th of October, Giza",Mamiba ,"Giza, Egypt ","FMCG, Cosmetics",100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
GL & Payables Accountant,Full Time,Accounting/Finance,"Alsadat City, Monufya",Sphinx Glass,"Monufya, Egypt ",Manufacturing,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Cost Accountant,Full Time,Accounting/Finance,"Badr City, Cairo",sofipack,"Cairo, Egypt ","Packaging and Containers, Plastics",100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Planner - Fashion Retail,Full Time,Accounting/Finance,"6th of October, Giza",Al-Nasser ,"Giza, Egypt ",Retail,500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Fundraising Director,Full Time,Accounting/Finance,"Sheikh Zayed, Giza",Nile University,"Giza, Egypt ",Higher Education,50-99 Employees,Min: 7 Max: 10,"Senior Management (CEO, GM, Director, Head)",Bachelor's Degree,Both
Financial Analyst,Full Time,Accounting/Finance,"Cairo, Egypt",Bazzarry For Treading,"Aden, Yemen ",Internet/E-commerce,50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"Cairo, Egypt",Toshkee Misr For Sea Food,Egypt ,Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Chief Operating Officer (COO),Full Time,Accounting/Finance,"Cairo, Egypt",Bazzarry For Treading,"Aden, Yemen ",Internet/E-commerce,50-99 Employees,Min: 7 Max: 10,"Senior Management (CEO, GM, Director, Head)",Bachelor's Degree,Both
Chief Commercial Officer (CCO),Full Time,Accounting/Finance,"Cairo, Egypt",Bazzarry For Treading,"Aden, Yemen ",Internet/E-commerce,50-99 Employees,Min: 7 Max: 10,"Senior Management (CEO, GM, Director, Head)",Bachelor's Degree,Both
Junior Branch Accountant,Full Time,Accounting/Finance,"Mokattam, Cairo",Kanawat,"Cairo, Egypt ",Telecommunications,100-499 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
General Accountant - Cairo,Full Time,Accounting/Finance,"Heliopolis, Cairo",Confidential Company,"Heliopolis, Cairo",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Accounts Manager,Full Time,Accounting/Finance,"Alexandria, Egypt",GEMS Education,"Cairo, Egypt ",Education,500 Employees or more,Min: 3 Max: 5,Manager,Bachelor's Degree,Both
Account,Full Time,Accounting/Finance,"Hadayek Alahram, Giza",Electronic Health Management,Egypt ,Information Technology Services,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Payables Accountant - Alexandria,Full Time,Accounting/Finance,"Ameria, Alexandria",Mantrac,"Cairo, Egypt ","Construction - Industrial Facilities and Infrastructure, Retail",500 Employees or more,Min: 0 Max: 1,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Junior Trader,Full Time,Accounting/Finance,"New Cairo, Cairo",Mediterraneo Trading,"Cairo, Egypt ",Import and Export,100-499 Employees,Min: 0 Max: 1,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"Sheikh Zayed, Giza",Mozan beauty clinic,"Giza, Egypt ",Healthcare and Medical Services,10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),High School / Diploma (or equivalent),Both
Senior AR Accountant,Full Time,Accounting/Finance,"Smart Village, Giza",Fawry Plus,"Giza, Egypt ","Banking, Financial Services",500 Employees or more,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Male
Finance Reconciliation Officer,Full Time,Accounting/Finance,"New Cairo, Cairo",NEXtCARE,"Cairo, Egypt ",Healthcare and Medical Services,100-499 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Male
Audit Manager,Full Time,Accounting/Finance,"Cairo, Egypt",Medica-lab,"Cairo, Egypt ","Healthcare and Medical Services, Manufacturing",50-99 Employees,Min: 3 Max: 5,Manager,Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"Sheikh Zayed, Giza",Ship To Box,"Cairo, Egypt ","Information Technology Services, Consumer Services, Internet/E-commerce",50-99 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Male
Finance Accountant Officer,Full Time,Accounting/Finance,"New Cairo, Cairo",NEXtCARE,"Cairo, Egypt ",Healthcare and Medical Services,100-499 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Male
Accountant,Full Time,Accounting/Finance,"New Cairo, Cairo",Mobco Civil Construction,"Cairo, Egypt ",Construction - Residential & Commercial/Office,50-99 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
